Ind,Rent,Dias,Benef,RSI,BajaLow,FechaCompra
ANA	-0.0223828580131	6	-67.1485740393	38.7727663447	0.0248005090678	2017-06-28
ANA	-0.0148447367386	6	-44.5342102159	54.7202632076	-0.0152361604876	2017-07-20
ACX	0.041915750484	3	125.747251452	59.0661616167	0.00255336443314	2016-08-12
ACS	-0.0472351899658	6	-141.705569897	60.1678840427	0.00245280271035	2016-09-09
ACS	0.0152489668171	6	45.7469004514	61.9024161248	0.00812347684809	2017-03-21
ACS	0.00140894677783	6	4.22684033349	72.2747868165	0.00647297907572	2017-04-11
ACS	-0.000280477170064	6	-0.841431510192	71.409260226	-0.012946365059	2017-05-10
ACS	-0.0148355818492	6	-44.5067455475	54.4061302266	0.010029251985	2017-06-20
ACS	-0.0271995462844	6	-81.5986388531	51.2128164295	-0.0137871607066	2017-07-20
ADZ	0.0391618979718	3	117.485693915	59.6569615987	0.00769230769231	2015-10-15
ADZ	-0.00478392339202	6	-14.3517701761	48.7169956784	0.0286458333333	2015-11-02
ADZ	0.0430191112178	2	129.057333653	44.1048071286	-0.00533333333333	2015-11-11
ADZ	-0.0218457489739	6	-65.5372469216	42.0961351596	-0.047619047619	2015-12-18
ADZ	0.0385893339997	1	115.768001999	70.989050906	-0.011655011655	2016-03-23
ADZ	0.048928015494	1	146.784046482	59.4877686657	0.029197080292	2016-03-30
ADZ	0.036514290218	1	109.542870654	44.4734340073	0.0368421052632	2016-05-27
ADZ	0.0481110985079	1	144.333295524	56.8199792964	0.0352941176471	2016-11-25
ADZ	0.0921857481263	2	276.557244379	72.7414781921	-0.109375	2017-01-16
ADZ	0.0481355836743	1	144.406751023	75.9896740867	0.0363951473137	2017-02-13
ADZ	0.0388690612558	1	116.607183768	62.4654194402	-0.00524475524476	2017-03-23
ADZ	0.0375550117366	1	112.66503521	51.7861810039	0.0273722627737	2017-03-30
ADZ	0.0383741373437	1	115.122412031	48.5842428941	0.0148148148148	2017-04-03
ADZ	0.0572221467876	2	171.666440363	57.2701590907	0.0	2017-07-28
ADZ	-0.0412099266467	6	-123.62977994	55.0258607649	0.0299401197605	2017-08-03
ADV	-0.115540872049	6	-346.622616148	60.0617493076	-0.0687977591587	2016-06-03
ADV	0.0462318510659	4	138.695553198	53.73887797	-0.0360110803324	2016-08-19
ADV	0.0407074023216	1	122.122206965	51.828645913	0.0602739726027	2016-09-06
ADV	0.0380152614733	1	114.04578442	77.3988142796	-0.0258823529412	2017-02-13
ADV	0.040280088983	1	120.840266949	51.9083558799	0.020253164557	2017-02-23
ADV	0.0435883312932	2	130.76499388	56.3266398014	0.00490196078431	2017-03-21
ADV	-0.0212391639179	6	-63.7174917537	52.8986083258	0.055421686747	2017-04-03
ADV	0.0418938097924	1	125.681429377	44.3804393612	0.0253164556962	2017-04-20
AENA	-0.0263428200296	6	-79.0284600889	63.2634040749	-0.00917856596571	2015-12-18
AENA	-0.0108437353754	6	-32.5312061261	84.9837098068	0.00137136588042	2017-06-06
AENA	-0.0288648459141	6	-86.5945377423	61.0367927165	0.00915649278579	2017-06-20
AENA	0.00748825805069	6	22.4647741521	42.4226883067	0.00210716435882	2017-07-27
AIR	-0.0257099930344	6	-77.1299791033	51.297070255	0.0162160871665	2016-06-02
AIR	-0.0211723283873	6	-63.5169851618	66.2651893818	0.00265604249668	2017-05-10
AIR	0.0142033208941	6	42.6099626822	56.4587489811	0.0113864701942	2017-06-06
AIR	-0.0104080540222	6	-31.2241620665	59.2609086751	-0.0216393442623	2017-06-20
AIR	-0.0148001695179	6	-44.4005085536	46.9412337947	0.0176271186441	2017-07-17
ALNT	0.0407486393883	6	122.245918165	57.3065980369	0.0125786163522	2016-10-21
ALNT	0.0252737080075	6	75.8211240224	54.4029129869	0.0	2016-11-04
ALNT	-0.000959639995018	6	-2.87891998506	54.2834398306	0.00367197062423	2016-11-23
ALNT	0.0421176344615	5	126.352903384	53.9104548039	-0.00296150049358	2017-03-07
ALNT	0.035926913215	3	107.780739645	52.7843841844	-0.00479846449136	2017-04-21
ALNT	0.0545002283264	2	163.500684979	55.0545097247	0.0325203252033	2017-05-11
ALNT	-0.0105756297136	6	-31.7268891408	51.5951230117	0.0400340715503	2017-06-06
ALNT	0.0275283876236	6	82.5851628708	49.2385291936	-0.000884173297966	2017-07-19
ALM	-0.0045603776081	6	-13.6811328243	57.7410065288	0.00280436202539	2016-08-12
ALM	-0.0228486617882	6	-68.5459853645	52.3024456499	0.00729376815128	2016-10-06
ALM	-0.0177915402901	6	-53.3746208702	58.9174893932	0.013382630971	2017-02-24
ALM	-0.00955171754549	6	-28.6551526365	61.075804423	0.00180526331839	2017-05-05
ALM	-0.0187443411409	6	-56.2330234227	50.0621381304	-0.00192554557125	2017-06-05
AMS	0.0457076977735	4	137.123093321	48.5929288538	0.0329952806507	2017-05-26
AMS	0.0118184651931	6	35.4553955793	61.2893090402	-0.00474885844749	2017-07-20
AMS	0.0150295711319	6	45.0887133956	41.0673875103	0.00211742059673	2017-08-02
AMS	0.000328146316816	6	0.984438950447	46.2303268396	-0.0140845070423	2017-08-17
AMP	-0.0914543366283	6	-274.363009885	52.2119150406	0.0263157894737	2015-11-06
AMP	0.0458991500756	2	137.697450227	48.1536549559	0.0347826086957	2016-05-02
AMP	0.0488297254151	1	146.489176245	57.466680691	0.0403225806452	2016-08-19
AMP	0.0470792870203	1	141.237861061	56.9865973389	0.0151515151515	2016-09-30
AMP	0.0452018225873	1	135.605467762	47.6355804811	0.0325203252033	2016-10-07
