Ind,Ops,Dinero,Rent,Benef
ABG,100,3000,1.81730760831,5451.92282492,4,54.5192282492
ANA,2,3000,0.170329101618,510.987304855,0,255.493652428
ACX,10,3000,0.199815669886,599.447009657,0,59.9447009657
ACS,21,3000,0.35129249337,1053.87748011,0,50.1846419101
ADZ,9,3000,0.439839618969,1319.51885691,0,146.613206323
ADV,61,3000,-0.223060751358,-669.182254073,0,-10.9702008864
ALM,19,3000,-0.861888049241,-2585.66414772,0,-136.087586722
AMS,1,3000,0.0640036413291,192.010923987,0,192.010923987
AMP,51,3000,1.24951163314,3748.53489943,0,73.5006843025
APAM,7,3000,0.522239791869,1566.71937561,0,223.817053658
A3M,23,3000,0.338121077756,1014.36323327,0,44.1027492726
CAF,16,3000,0.746904231105,2240.71269332,2,140.044543332
AXIA,1,3000,0.0523860472392,157.158141718,0,157.158141718
AZK,1,3000,0.100130453198,300.391359593,0,300.391359593
SAB,13,3000,0.451477121018,1354.43136305,0,104.187027927
SAN,25,3000,0.366275625799,1098.8268774,0,43.9530750959
BKIA,35,3000,-0.0695986352126,-208.795905638,0,-5.96559730394
BBVA,14,3000,0.188091616274,564.274848823,0,40.3053463445
BIO,22,3000,1.13292711949,3398.78135848,0,154.490061749
BAIN,5,3000,0.28163848391,844.915451729,0,168.983090346
CABK,35,3000,-0.00784934870329,-23.5480461099,0,-0.672801317425
CLNX,10,3000,0.422212732796,1266.63819839,0,126.663819839
CDR,77,3000,0.423470041789,1270.41012537,0,16.498832797
MDF,77,3000,-1.49833042711,-4494.99128132,0,-58.376510147
OLE,45,3000,0.549127243702,1647.38173111,0,36.6084829134
DIA,4,3000,-0.0722082956238,-216.624886871,0,-54.1562217178
EDR,45,3000,-1.98448143943,-5953.44431828,0,-132.298762629
ENO,17,3000,-0.304003612418,-912.010837253,0,-53.647696309
ENC,36,3000,0.708009923576,2124.02977073,0,59.0008269647
EKT,1,3000,0.0280860215054,84.2580645161,0,84.2580645161
EZE,53,3000,0.462165477433,1386.4964323,0,26.1603100434
FCC,7,3000,1.0387938792,3116.38163759,2,445.197376799
GAS,1,3000,0.0580748568912,174.224570674,0,174.224570674
GCO,13,3000,0.374386176368,1123.1585291,0,86.396809931
GRF,15,3000,-0.448058598828,-1344.17579648,0,-89.6117197656
GRF.P,15,3000,-0.465829498182,-1397.48849455,0,-93.1658996364
HIS,6,3000,0.16499840432,494.995212959,0,82.4992021599
IAG,21,3000,1.23918706453,3717.5611936,0,177.026723505
IBG,5,3000,0.150679555546,452.038666639,0,90.4077333279
IDR,5,3000,0.10216220844,306.48662532,0,61.2973250639
ISUR,21,3000,1.13075358708,3392.26076125,0,161.536226726
INY,33,3000,1.15119620835,3453.58862506,4,104.65420076
LBK,60,3000,-0.167253248756,-501.759746269,0,-8.36266243781
LGT,13,3000,0.443151313204,1329.45393961,0,102.265687662
MAP,14,3000,0.0970754864091,291.226459227,0,20.8018899448
TL5,7,3000,0.339206182124,1017.61854637,0,145.374078053
MEL,14,3000,0.0593208194064,177.962458219,0,12.7116041585
MRL,3,3000,0.150594741295,451.784223884,0,150.594741295
MCM,14,3000,-0.0363395213268,-109.01856398,0,-7.78704028432
MTB,13,3000,0.531567464073,1594.70239222,0,122.669414786
NAT,52,3000,2.34772227848,7043.16683545,2,135.445516066
NTH,4,3000,0.274512283282,823.536849846,0,205.884212462
NHH,31,3000,-0.326513822772,-979.541468315,0,-31.5981118811
NEA,7,3000,0.531006498743,1593.01949623,0,227.574213747
OHL,124,3000,-2.33054199189,-6991.62597567,0,-56.384080449
ORY,45,3000,0.190949869708,572.849609125,1,12.7299913139
PHM,60,3000,-0.801392828073,-2404.17848422,0,-40.0696414036
PSG,2,3000,0.0972470023981,291.741007194,0,145.870503597
QBT,55,3000,4.0818253003,12245.4759009,3,222.64501638
REP,16,3000,0.0560515258559,168.154577568,0,10.509661098
ROVI,1,3000,0.0644341085271,193.302325581,0,193.302325581
SCYR,44,3000,-0.0553127751111,-165.938325333,0,-3.77132557576
GSJ,32,3000,0.644369889609,1933.10966883,0,60.4096771509
SNC,47,3000,1.07467949727,3224.03849181,0,68.5965636555
SLR,30,3000,-0.114243956806,-342.731870418,0,-11.4243956806
TLGO,13,3000,0.909732441355,2729.19732406,0,209.938255697
TRE,18,3000,0.32204331964,966.12995892,0,53.6738866067
TEF,4,3000,0.280548558822,841.645676467,0,210.411419117
TPZ,17,3000,-0.682160271331,-2046.48081399,0,-120.381224353
TUB,11,3000,0.983424927454,2950.27478236,0,268.206798397
TRG,25,3000,-1.23256091244,-3697.68273732,0,-147.907309493
VOC,15,3000,0.156651905725,469.955717174,0,31.3303811449
ZOT,1,3000,0.0344456721915,103.337016575,0,103.337016575
