GANAS|MDF|2017-06-08T19:36:00.000000000+0200|0.51|0
GANAS|MDF|2017-06-07T19:36:00.000000000+0200|0.62|0
GANAS|MDF|2017-05-24T19:36:00.000000000+0200|0.85|0
GANAS|MDF|2017-05-23T19:36:00.000000000+0200|0.87|0
GANAS|MDF|2017-05-22T19:36:00.000000000+0200|0.84|0
GANAS|MDF|2017-05-19T19:36:00.000000000+0200|0.86|0
GANAS|IBG|2017-07-12T19:36:00.000000000+0200|24.85|0
GANAS|IBG|2017-07-11T19:36:00.000000000+0200|25.2|0
GANAS|LBK|2017-07-06T19:36:00.000000000+0200|0.95|0
GANAS|LBK|2017-07-05T19:36:00.000000000+0200|0.947|0
GANAS|LBK|2017-07-03T19:36:00.000000000+0200|0.905|0
GANAS|LBK|2017-06-30T19:36:00.000000000+0200|0.899|0
GANAS|LBK|2017-06-28T19:36:00.000000000+0200|0.855|0
GANAS|LBK|2017-06-27T19:36:00.000000000+0200|0.815|0
GANAS|LBK|2017-06-15T19:36:00.000000000+0200|0.831|0
GANAS|LBK|2017-06-14T19:36:00.000000000+0200|0.841|0
GANAS|LBK|2017-06-13T19:36:00.000000000+0200|0.827|0
PIERD|LBK|2017-06-12T19:36:00.000000000+0200|0.96|0.87
GANAS|LBK|2017-06-09T19:36:00.000000000+0200|0.68|0
GANAS|LBK|2017-06-08T19:36:00.000000000+0200|0.825|0
GANAS|TL5|2017-07-10T19:36:00.000000000+0200|10.18|0
GANAS|TL5|2017-07-07T19:36:00.000000000+0200|10.105|0
GANAS|OHL|2017-07-10T19:36:00.000000000+0200|3.114|0
GANAS|OHL|2017-07-07T19:36:00.000000000+0200|3.149|0
GANAS|OHL|2017-07-06T19:36:00.000000000+0200|3.12|0
GANAS|OHL|2017-07-05T19:36:00.000000000+0200|3.16|0
GANAS|OHL|2017-07-03T19:36:00.000000000+0200|3.174|0
GANAS|OHL|2017-06-30T19:36:00.000000000+0200|3.139|0
GANAS|OHL|2017-06-20T19:36:00.000000000+0200|3.22|0
GANAS|OHL|2017-06-13T19:36:00.000000000+0200|2.806|0
GANAS|OHL|2017-06-09T19:36:00.000000000+0200|2.76|0
GANAS|OHL|2017-06-08T19:36:00.000000000+0200|2.674|0
GANAS|OHL|2017-06-07T19:36:00.000000000+0200|3.041|0
GANAS|OHL|2017-06-06T19:36:00.000000000+0200|3.053|0
GANAS|GSJ|2017-06-08T19:36:00.000000000+0200|2.99|0
GANAS|GSJ|2017-06-07T19:36:00.000000000+0200|3.15|0
